system,op,iterations,trial,rwtest_time_ms,real_time_s
FUSE,write,4500,3,254.99,1.04
FUSE,write,4500,4,251.31,0.68
FUSE,write,4500,5,234.64,1.01
FUSE,write,4500,6,246.27,0.71
FUSE,read,4500,2,560.64,1.00
FUSE,read,4500,3,235.67,0.99
FUSE,read,4500,4,557.63,0.99
FUSE,read,4500,5,236.38,1.01
FUSE,read,4500,6,547.20,0.98
NFS,write,4500,2,1839.77,1.84
NFS,write,4500,3,1901.86,1.90
NFS,write,4500,4,1833.86,1.83
NFS,write,4500,5,1844.20,1.84
NFS,write,4500,6,1843.66,1.84
NFS,read,4500,2,865.96,0.86
NFS,read,4500,3,875.40,0.87
NFS,read,4500,4,877.34,0.87
NFS,read,4500,5,874.52,0.87
NFS,read,4500,6,857.71,0.86
FUSE,write,5000,2,276.54,0.73
FUSE,write,5000,3,281.34,1.08
FUSE,write,5000,4,264.85,0.72
FUSE,write,5000,5,284.29,1.05
FUSE,write,5000,6,284.96,0.71
FUSE,read,5000,2,583.49,1.04
FUSE,read,5000,3,249.97,1.05
FUSE,read,5000,4,584.45,1.06
FUSE,read,5000,5,267.99,1.06
FUSE,read,5000,6,594.97,1.03
NFS,write,5000,2,2032.52,2.03
NFS,write,5000,3,2090.12,2.09
NFS,write,5000,4,2037.63,2.04
NFS,write,5000,5,2029.55,2.03
NFS,write,5000,6,2032.99,2.03
NFS,read,5000,2,957.29,0.95
NFS,read,5000,3,961.24,0.96
NFS,read,5000,4,967.06,0.96
NFS,read,5000,5,963.09,0.96
NFS,read,5000,6,960.55,0.96
